Station,Channel,Location,Latitude,Longitude,Elevation,Depth,Azimuth,Start_time,End_time,Constant
CHK,HHE,10,23.0978,121.373,34.0,0.0,90.0,2008-07-12,2012-06-09,5.376431005621376e-10
CHK,HLZ,10,23.0978,121.373,34.0,0.0,0.0,2008-11-29,2018-12-09,3.2491740439689567e-06
CHK,HLN,10,23.0978,121.373,34.0,0.0,0.0,2008-11-29,2018-12-09,3.2462441234696904e-06
CHK,HLE,10,23.0978,121.373,34.0,0.0,90.0,2008-11-29,2018-12-09,3.2340344882118777e-06
CHK,HHZ,10,23.0978,121.373,34.0,0.0,0.0,2012-06-10,2014-04-23,4.010544865266584e-09
CHK,HHN,10,23.0978,121.373,34.0,0.0,0.0,2012-06-10,2014-04-23,4.010544865266584e-09
CHK,HHE,10,23.0978,121.373,34.0,0.0,90.0,2012-06-10,2014-04-23,4.000518503103417e-09
CHK,EHZ,10,23.097802,121.373148,37.0,0.0,0.0,2008-11-29,2599-12-31,8.898260569496507e-09
CHK,EHN,10,23.097802,121.373148,37.0,0.0,0.0,2008-11-29,2599-12-31,8.898260569496507e-09
CHK,EHE,10,23.097802,121.373148,37.0,0.0,90.0,2008-11-29,2599-12-31,8.898260569496507e-09
CHK,HLZ,10,23.097802,121.373148,37.0,0.0,0.0,2018-12-10,2599-12-31,3.2034418066108437e-06
CHK,HLN,10,23.097802,121.373148,37.0,0.0,0.0,2018-12-10,2599-12-31,3.2352985676246052e-06
CHK,HLE,10,23.097802,121.373148,37.0,0.0,90.0,2018-12-10,2599-12-31,3.2298894836259597e-06
CHKH,HNZ,00,23.1917,121.3957,-93.0,100.0,0.0,2017-10-06,2023-02-05,6.426762059203414e-06
CHKH,HN1,00,23.1917,121.3957,-93.0,100.0,100.0,2017-10-06,2023-02-05,6.3306010308861546e-06
CHKH,HN2,00,23.1917,121.3957,-93.0,100.0,190.0,2017-10-06,2023-02-05,6.378681545044784e-06
CHKH,HHZ,00,23.1917,121.3957,-93.0,100.0,0.0,2017-10-06,2023-02-05,1.5081107695348614e-09
CHKH,HH1,00,23.1917,121.3957,-93.0,100.0,100.0,2017-10-06,2023-02-05,1.4761246656683738e-09
CHKH,HH2,00,23.1917,121.3957,-93.0,100.0,190.0,2017-10-06,2023-02-05,1.6050501762125198e-09
CHKH,HNZ,00,23.191771,121.395655,-89.0,100.0,0.0,2023-02-06,2599-12-31,6.426762059203414e-06
CHKH,HN1,00,23.191771,121.395655,-89.0,100.0,100.0,2023-02-06,2599-12-31,6.3306010308861546e-06
CHKH,HN2,00,23.191771,121.395655,-89.0,100.0,190.0,2023-02-06,2599-12-31,6.378681545044784e-06
CHKH,HHZ,00,23.191771,121.395655,-89.0,100.0,0.0,2023-02-06,2599-12-31,1.5081107695348614e-09
CHKH,HH1,00,23.191771,121.395655,-89.0,100.0,100.0,2023-02-06,2599-12-31,1.4761246656683738e-09
CHKH,HH2,00,23.191771,121.395655,-89.0,100.0,190.0,2023-02-06,2599-12-31,1.6050501762125198e-09
CHKH,HNZ,10,23.1917,121.3957,7.0,0.0,0.0,2017-10-06,2020-06-16,6.394708383097661e-06
CHKH,HNN,10,23.1917,121.3957,7.0,0.0,0.0,2017-10-06,2020-06-16,6.410735221150536e-06
CHKH,HNE,10,23.1917,121.3957,7.0,0.0,90.0,2017-10-06,2020-06-16,6.378681545044784e-06
CHKH,HNZ,10,23.191771,121.395655,11.0,0.0,0.0,2020-06-17,2599-12-31,3.2299874742781094e-06
CHKH,HNN,10,23.191771,121.395655,11.0,0.0,0.0,2020-06-17,2599-12-31,3.1794634940298924e-06
CHKH,HNE,10,23.191771,121.395655,11.0,0.0,90.0,2020-06-17,2599-12-31,3.2318492966689475e-06
CHN1,HLZ,10,23.184869,120.528566,215.0,0.0,0.0,2023-01-16,2599-12-31,3.189262559244828e-06
CHN1,HLN,10,23.184869,120.528566,215.0,0.0,0.0,2023-01-16,2599-12-31,3.1988460450250377e-06
CHN1,HLE,10,23.184869,120.528566,215.0,0.0,90.0,2023-01-16,2599-12-31,3.205881773849364e-06
CHN1,EHZ,10,23.184869,120.528566,215.0,0.0,0.0,2023-01-16,2599-12-31,8.898260569496507e-09
CHN1,EHN,10,23.184869,120.528566,215.0,0.0,0.0,2023-01-16,2599-12-31,8.898260569496507e-09
CHN1,EHE,10,23.184869,120.528566,215.0,0.0,90.0,2023-01-16,2599-12-31,8.898260569496507e-09
CHN1,HLZ,10,23.184953,120.52845,216.0,0.0,0.0,2018-11-13,2023-01-15,3.189262559244828e-06
CHN1,HLN,10,23.184953,120.52845,216.0,0.0,0.0,2018-11-13,2023-01-15,3.1988460450250377e-06
CHN1,HLE,10,23.184953,120.52845,216.0,0.0,90.0,2018-11-13,2023-01-15,3.205881773849364e-06
CHN1,EHZ,10,23.185,120.5285,217.0,0.0,0.0,2009-10-01,2023-01-15,8.898260569496507e-09
CHN1,EHN,10,23.185,120.5285,217.0,0.0,0.0,2009-10-01,2023-01-15,8.898260569496507e-09
CHN1,EHE,10,23.185,120.5285,217.0,0.0,90.0,2009-10-01,2023-01-15,8.898260569496507e-09
CHN1,HLZ,10,23.185,120.5285,217.0,0.0,0.0,2009-10-01,2018-11-12,3.2805290326874753e-06
CHN1,HLN,10,23.185,120.5285,217.0,0.0,0.0,2009-10-01,2018-11-12,3.2851040862040904e-06
CHN1,HLE,10,23.185,120.5285,217.0,0.0,90.0,2009-10-01,2018-11-12,3.2742625340963826e-06
CHN2,EHZ,10,23.5319,120.4744,45.0,0.0,0.0,2009-10-01,2023-02-06,8.898260569496507e-09
CHN2,EHN,10,23.5319,120.4744,45.0,0.0,0.0,2009-10-01,2023-02-06,8.898260569496507e-09
CHN2,EHE,10,23.5319,120.4744,45.0,0.0,90.0,2009-10-01,2023-02-06,8.898260569496507e-09
CHN2,HLZ,10,23.5319,120.4744,45.0,0.0,0.0,2009-10-01,2018-11-13,3.241324992731791e-06
CHN2,HLN,10,23.5319,120.4744,45.0,0.0,0.0,2009-10-01,2018-11-13,3.2324078433861982e-06
CHN2,HLE,10,23.5319,120.4744,45.0,0.0,90.0,2009-10-01,2018-11-13,3.248145142121388e-06
CHN2,HLZ,10,23.531904,120.474355,102.0,0.0,0.0,2018-11-14,2599-12-31,3.238992815210636e-06
CHN2,HLN,10,23.531904,120.474355,102.0,0.0,0.0,2018-11-14,2599-12-31,3.2237258716057633e-06
CHN2,HLE,10,23.531904,120.474355,102.0,0.0,90.0,2018-11-14,2599-12-31,3.2288703808436044e-06
CHN2,EHZ,10,23.531904,120.474355,102.0,0.0,0.0,2023-02-07,2599-12-31,8.898260569496507e-09
CHN2,EHN,10,23.531904,120.474355,102.0,0.0,0.0,2023-02-07,2599-12-31,8.898260569496507e-09
CHN2,EHE,10,23.531904,120.474355,102.0,0.0,90.0,2023-02-07,2599-12-31,8.898260569496507e-09
CHN3,HLZ,10,23.07527,120.36407,55.0,0.0,0.0,2008-10-15,2018-11-12,3.229134955604408e-06
CHN3,HLN,10,23.07527,120.36407,55.0,0.0,0.0,2008-10-15,2018-11-12,3.2284588201045787e-06
CHN3,HLE,10,23.07527,120.36407,55.0,0.0,90.0,2008-10-15,2018-11-12,3.2534562354678837e-06
CHN3,EHZ,10,23.07527,120.36407,55.0,0.0,0.0,2008-10-15,2599-12-31,8.898260569496507e-09
CHN3,EHN,10,23.07527,120.36407,55.0,0.0,0.0,2008-10-15,2599-12-31,8.898260569496507e-09
CHN3,EHE,10,23.07527,120.36407,55.0,0.0,90.0,2008-10-15,2599-12-31,8.898260569496507e-09
CHN3,HLZ,10,23.07527,120.36407,55.0,0.0,0.0,2018-11-13,2599-12-31,3.23203547890803e-06
CHN3,HLN,10,23.07527,120.36407,55.0,0.0,0.0,2018-11-13,2599-12-31,3.228400025713289e-06
CHN3,HLE,10,23.07527,120.36407,55.0,0.0,90.0,2018-11-13,2599-12-31,3.2058915729145783e-06
CHN4,EHZ,10,23.3513,120.594,957.0,0.0,0.0,2009-10-01,2599-12-31,8.898260569496507e-09
CHN4,EHN,10,23.3513,120.594,957.0,0.0,0.0,2009-10-01,2599-12-31,8.898260569496507e-09
CHN4,EHE,10,23.3513,120.594,957.0,0.0,90.0,2009-10-01,2599-12-31,8.898260569496507e-09
CHN4,HLZ,10,23.3513,120.594,957.0,0.0,0.0,2009-10-01,2020-09-09,3.2805290326874753e-06
CHN4,HLN,10,23.3513,120.594,957.0,0.0,0.0,2009-10-01,2020-09-09,3.2851040862040904e-06
CHN4,HLE,10,23.3513,120.594,957.0,0.0,90.0,2009-10-01,2020-09-09,3.2742625340963826e-06
CHN4,HLZ,10,23.3513,120.594,957.0,0.0,0.0,2020-09-10,2599-12-31,3.1717516297057348e-06
CHN4,HLN,10,23.3513,120.594,957.0,0.0,0.0,2020-09-10,2599-12-31,3.2378365255152734e-06
CHN4,HLE,10,23.3513,120.594,957.0,0.0,90.0,2020-09-10,2599-12-31,3.2285470116915122e-06
CHN5,HLZ,10,23.59721,120.6769,799.0,0.0,0.0,2020-12-17,2023-01-15,3.2243334136490896e-06
CHN5,HLN,10,23.59721,120.6769,799.0,0.0,0.0,2020-12-17,2023-01-15,3.2378365255152743e-06
CHN5,HLE,10,23.59721,120.6769,799.0,0.0,90.0,2020-12-17,2023-01-15,3.2493308290123954e-06
CHN5,HLZ,10,23.597212,120.676901,801.0,0.0,0.0,2023-01-16,2599-12-31,3.2243334136490896e-06
CHN5,HLN,10,23.597212,120.676901,801.0,0.0,0.0,2023-01-16,2599-12-31,3.2378365255152743e-06
CHN5,HLE,10,23.597212,120.676901,801.0,0.0,90.0,2023-01-16,2599-12-31,3.2493308290123954e-06
