Station Channel Location Latitude Longitude Elevation Depth Azimuth Start_time End_time Constant 
HSN1 HLN 10 24.778640 121.018185 91.00 0.00 0.0 2023-01-30 2599-12-31 3.23E-6 
HSN1 HLZ 10 24.778640 121.018185 91.00 0.00 0.0 2023-01-30 2599-12-31 3.23E-6 
HWA HLE 10 23.975010 121.613486 18.00 0.00 90.0 2018-11-14 2599-12-31 3.26E-6 
HWA HLN 10 23.975010 121.613486 18.00 0.00 0.0 2018-11-14 2599-12-31 3.26E-6 
HWA HLZ 10 23.975010 121.613486 18.00 0.00 0.0 2018-11-14 2599-12-31 3.25E-6 
ILA HLE 10 24.763787 121.756308 11.00 0.00 90.0 2018-11-19 2599-12-31 3.23E-6 
ILA HLN 10 24.763787 121.756308 11.00 0.00 0.0 2018-11-19 2599-12-31 3.23E-6 
ILA HLZ 10 24.763787 121.756308 11.00 0.00 0.0 2018-11-19 2599-12-31 3.21E-6 
KNM HLE 10 24.407480 118.288684 31.00 0.00 90.0 2023-01-18 2599-12-31 3.2E-6 
KNM HLN 10 24.407480 118.288684 31.00 0.00 0.0 2023-01-18 2599-12-31 3.21E-6 
KNM HLZ 10 24.407480 118.288684 31.00 0.00 0.0 2023-01-18 2599-12-31 3.23E-6 
LAY HLE 10 22.037265 121.558127 309.00 0.00 90.0 2018-12-10 2599-12-31 3.25E-6 
LAY HLN 10 22.037265 121.558127 309.00 0.00 0.0 2018-12-10 2599-12-31 3.23E-6 
LAY HLZ 10 22.037265 121.558127 309.00 0.00 0.0 2018-12-10 2599-12-31 3.23E-6 
MSU HLE 10 26.169223 119.922950 85.00 0.00 90.0 2017-04-14 2599-12-31 3.23E-6 
MSU HLN 10 26.169223 119.922950 85.00 0.00 0.0 2017-04-14 2599-12-31 3.23E-6 
MSU HLZ 10 26.169223 119.922950 85.00 0.00 0.0 2017-04-14 2599-12-31 3.2E-6 
NCU HLE 10 24.967128 121.186881 131.00 0.00 90.0 2023-01-30 2599-12-31 3.21E-6 
NCU HLN 10 24.967128 121.186881 131.00 0.00 0.0 2023-01-30 2599-12-31 3.2E-6 
NCU HLZ 10 24.967128 121.186881 131.00 0.00 0.0 2023-01-30 2599-12-31 3.2E-6 
NHW HLE 10 25.006748 121.047577 21.00 0.00 90.0 2018-12-10 2599-12-31 3.23E-6 
NHW HLN 10 25.006748 121.047577 21.00 0.00 0.0 2018-12-10 2599-12-31 3.24E-6 
NHW HLZ 10 25.006748 121.047577 21.00 0.00 0.0 2018-12-10 2599-12-31 3.24E-6 
NJD HLE 10 24.735702 121.088104 131.00 0.00 90.0 2018-12-06 2599-12-31 3.21E-6 
NJD HLN 10 24.735702 121.088104 131.00 0.00 0.0 2018-12-06 2599-12-31 3.24E-6 
NJD HLZ 10 24.735702 121.088104 131.00 0.00 0.0 2018-12-06 2599-12-31 3.23E-6 
NJN HLE 10 24.683560 120.870300 11.00 0.00 90.0 2018-12-06 2599-12-31 3.2E-6 
NJN HLN 10 24.683560 120.870300 11.00 0.00 0.0 2018-12-06 2599-12-31 3.23E-6 
NJN HLZ 10 24.683560 120.870300 11.00 0.00 0.0 2018-12-06 2599-12-31 3.2E-6 
NML HLE 10 24.564936 120.825756 50.00 0.00 90.0 2021-10-06 2599-12-31 3.21E-6 
NML HLN 10 24.564936 120.825756 50.00 0.00 0.0 2021-10-06 2599-12-31 3.22E-6 
NML HLZ 10 24.564936 120.825756 50.00 0.00 0.0 2021-10-06 2599-12-31 3.2E-6 
NMLH HLE 10 24.537371 120.790932 179.00 0.00 90.0 2023-10-25 2599-12-31 3.25E-6 
NMLH HLN 10 24.537371 120.790932 179.00 0.00 0.0 2023-10-25 2599-12-31 3.22E-6 
NMLH HLZ 10 24.537371 120.790932 179.00 0.00 0.0 2023-10-25 2599-12-31 3.24E-6 
NNS HLE 10 24.437449 121.381300 1148.00 0.00 90.0 2018-11-19 2599-12-31 3.21E-6 
NNS HLN 10 24.437449 121.381300 1148.00 0.00 0.0 2018-11-19 2599-12-31 3.2E-6 
NNS HLZ 10 24.437449 121.381300 1148.00 0.00 0.0 2018-11-19 2599-12-31 3.23E-6 
NOU HLE 10 25.149376 121.773324 16.00 0.00 90.0 2023-01-18 2599-12-31 3.23E-6 
NOU HLN 10 25.149376 121.773324 16.00 0.00 0.0 2023-01-18 2599-12-31 3.22E-6 
NOU HLZ 10 25.149376 121.773324 16.00 0.00 0.0 2023-01-18 2599-12-31 3.23E-6 
